nume;artist;vizualizari;venituri;lansare;aparitie;durata;gen;tara;colab
Butter;BTS;12286136; 61.430,68  USD ;21.05.2021;30.09.2021;2:44;K-POP;Korea de Sud;Nu
Save Your Tears (with Ariana Grande) (Remix);The Weeknd;12206040; 61.030,20  USD ;20.03.2020;30.09.2021;3:35;R&B/SOUL;Canada;Da
drivers license;Olivia Rodrigo;11602712; 58.013,56  USD ;08.01.2021;30.09.2021;4:02;POP;SUA;Nu
Don't Be Shy;TiÃ«sto;11587692; 57.938,46  USD ;04.05.2021;30.09.2021;3:23;R&B/SOUL;Olanda;Nu
2055;Sleepy Hallow;11579376; 57.896,88  USD ;14.04.2021;30.09.2021;2:03;HIP-HOP/RAP;Jamaica;Nu
Wildest Dreams (Taylor's Version);Taylor Swift;11464000; 57.320,00  USD ;23.06.2021;30.09.2021;2:46;POP;SUA;Nu
Ley Seca;Jhay Cortez;11418146; 57.090,73  USD ;23.06.2021;30.09.2021;2:23;LATIN URBAN;Puerto Rico;Nu
Cúrame;Rauw Alejandro;11345113; 56.725,57  USD ;25.06.2021;30.09.2021;2:44;LATIN URBAN;Puerto Rico;Nu
Get Into It (Yuh);Doja Cat;10881176; 54.405,88  USD ;25.06.2021;30.09.2021;2:18;POP;SUA;Nu
Where Are You Now;Lost Frequencies;10746236; 53.731,18  USD ;19.06.2021;30.09.2021;5:59;POP;Belgia;Nu
Sobrio;Maluma;10645133; 53.225,67  USD ;08.07.2021;30.09.2021;3:21;LATIN URBAN;Columbia;Nu
AM Remix;Nio Garcia;10482746; 52.413,73  USD ;24.06.2021;30.09.2021;4:21;LATIN URBAN;Puerto Rico;Nu
Volando - Remix;Mora;10364052; 51.820,26  USD ;08.07.2021;30.09.2021;4:33;LATIN;Puerto Rico;Nu
deja vu;Olivia Rodrigo;10335435; 51.677,18  USD ;21.05.2021;30.09.2021;3:35;POP;SUA;Nu
Permission to Dance;BTS;10333834; 51.669,17  USD ;09.07.2021;30.09.2021;3:07;K-POP;Korea de Sud;Nu
OUT OUT (with Charli XCX & Saweetie);Joel Corry;10206267; 51.031,34  USD ;23.06.2021;30.09.2021;4:21;ROCK;Marea Britanie;Da
PariÌs;Ingratax;9964005; 49.820,03  USD ;27.08.2021;30.09.2021;3:10;POP;Mexic;Nu
family ties (with Kendrick Lamar);Baby Keem;9900093; 49.500,47  USD ;27.08.2021;30.09.2021;4:12;HIP-HOP/RAP;SUA;Da
Don't Go Yet;Camila Cabello;9587759; 47.938,80  USD ;23.07.2021;30.09.2021;2:44;POP;Cuba;Nu
Watermelon Sugar;Harry Styles;9566164; 47.830,82  USD ;13.12.2019;30.09.2021;2:53;POP;Marea Britanie;Nu
Sweater Weather;The Neighbourhood;9268765; 46.343,83  USD ;03.02.2021;30.09.2021;2:18;R&B/SOUL;SUA;Nu
Dákiti;Bad Bunny;9153046; 45.765,23  USD ;30.10.2020;30.09.2021;3:25;LATIN;Puerto Rico;Nu
Leave The Door Open;Bruno Mars;8999268; 44.996,34  USD ;05.03.2021;30.09.2021;4:02;R&B/SOUL;Puerto Rico;Nu
NostÃ¡lgico;Rvssian;8890732; 44.453,66  USD ;23.05.2021;30.09.2021;3:23;LATIN URBAN;Puerto Rico;Nu
Like I Can;Sam Smith;8824618; 44.123,09  USD ;21.03.2021;30.09.2021;4:12;POP;Marea Britanie;Nu
Entre Nosotros;Tiago PZK;8763558; 43.817,79  USD ;09.07.2021;30.09.2021;3:12;RHYTHM & BLUES;Argentina;Nu
happier;Olivia Rodrigo;8748754; 43.743,77  USD ;21.05.2021;30.09.2021;2:55;POP;SUA;Nu
Love Tonight - Edit;Shouse;8735579; 43.677,90  USD ;14.12.2017;30.09.2021;4:01;ELECTRONIC;Australia;Nu
Mood (with iann dior);24kGoldn;8723444; 43.617,22  USD ;20.05.2021;30.09.2021;2:17;HIP-HOP/RAP;SUA;Da
Dynamite;BTS;8719388; 43.596,94  USD ;20.09.2021;30.09.2021;2:21;K-POP;Korea de Sud;Nu
Una Nota;J Balvin;8680859; 43.404,30  USD ;02.02.2021;30.09.2021;2:32;LATIN URBAN;Columbia;Nu
Dark Red;Steve Lacy;8637286; 43.186,43  USD ;20.04.2021;30.09.2021;3:41;DANCE;SUA;Nu
Freaks;Surf Curse;8229013; 41.145,07  USD ;02.02.2021;30.09.2021;3:23;POP;SUA;Nu
Someone You Loved;Lewis Capaldi;8198902; 40.994,51  USD ;30.06.2021;30.09.2021;3:28;HIP-HOP/RAP;Scoția;Nu
Leave Before You Love Me (with Jonas Brothers);Marshmello;8184031; 40.920,16  USD ;27.09.2021;30.09.2021;4:02;ROCK;SUA;Da
Don't Start Now;Dua Lipa;8140242; 40.701,21  USD ;21.02.2021;30.09.2021;2:49;K-POP;Marea Britanie;Nu
Bored;Billie Eilish;8136788; 40.683,94  USD ;03.03.2021;30.09.2021;3:49;ALTERNATIVE;SUA;Nu
Miénteme;TINI;7982451; 39.912,26  USD ;01.05.2021;30.09.2021;2:45;LATIN URBAN;Argentina;Nu
Pareja Del AÃ±o;Sebastian Yatra;7964933; 39.824,67  USD ;11.02.2021;30.09.2021;4:57;LATIN URBAN;Columbia;Nu
I GUESS I'M IN LOVE;Clinton Kane;7895736; 39.478,68  USD ;05.06.2021;30.09.2021;2:44;HIP-HOP/RAP;Norvegia;Nu
Friday (with Mufasa & Hypeman) - Dopamine Re-Edit;Riton;7823821; 39.119,11  USD ;15.01.2021;30.09.2021;2:49;DANCE;Marea Britanie;Da
Tiroteo - Remix;Marc SeguÃ­;7691845; 38.459,23  USD ;01.04.2021;30.09.2021;5:21;LATIN URBAN;Puerto Rico;Nu
Astronaut In The Ocean;Masked Wolf;7683857; 38.419,29  USD ;30.08.2021;30.09.2021;4:03;POP;Australia;Nu
edamame (with Rich Brian);bbno$;7651389; 38.256,95  USD ;24.04.2020;30.09.2021;2:10;R&B/SOUL;Canada;Da
The Business;TiÃ«sto;7608736; 38.043,68  USD ;20.05.2021;30.09.2021;2:55;DANCE;Olanda;Nu
Your Heart;Joyner Lucas;7564368; 37.821,84  USD ;22.04.2021;30.09.2021;3:23;POP;SUA;Nu
jealousy, jealousy;Olivia Rodrigo;7417730; 37.088,65  USD ;21.05.2021;30.09.2021;2:53;POP;SUA;Nu
Love Again;Dua Lipa;7406089; 37.030,45  USD ;04.03.2021;30.09.2021;3:22;ELECTRONIC;Marea Britanie;Nu
Ain't Shit;Doja Cat;7396316; 36.981,58  USD ;25.06.2021;30.09.2021;2:54;POP;SUA;Nu
Have Mercy;ChlÃ¶e;7362969; 36.814,85  USD ;23.05.2021;30.09.2021;2:45;POP;SUA;Nu
lovely (with Khalid);Billie Eilish;7341942; 36.709,71  USD ;08.07.2021;30.09.2021;4:02;LATIN URBAN;SUA;Da
SEJODIOTO;KAROL G;7311219; 36.556,10  USD ;15.05.2021;30.09.2021;5:23;LATIN URBAN;Columbia;Nu
favorite crime;Olivia Rodrigo;7279399; 36.397,00  USD ;30.05.2021;30.09.2021;3:35;ALTERNATIVE;SUA;Nu
911 - Remix;Sech;7276832; 36.384,16  USD ;09.07.2021;30.09.2021;3:28;LATIN URBAN;Panama;Nu
Perfect;Ed Sheeran;7254400; 36.272,00  USD ;13.02.2021;30.09.2021;3:21;POP;Marea Britanie;Nu
Summer of Love (Shawn Mendes & Tainy);Shawn Mendes;7193229; 35.966,15  USD ;20.08.2021;30.09.2021;3:04;POP;Canada;Nu
Save Your Tears;The Weeknd;7160013; 35.800,07  USD ;13.01.2021;30.09.2021;4:03;ELECTRONIC;Canada;Nu
Chosen (with Ty Dolla $ign);Blxst;7146580; 35.732,90  USD ;12.07.2021;30.09.2021;4:58;ALTERNATIVE;SUA;Da
LOCO;ITZY;7089600; 35.448,00  USD ;23.04.2021;30.09.2021;4:47;K-POP;SUA;Nu
Champagne Poetry;Drake;7082667; 35.413,34  USD ;07.10.2021;30.09.2021;8:33;HIP-HOP/RAP;Canada;Nu
Happier Than Ever - Edit;Billie Eilish;7059035; 35.295,18  USD ;16.05.2021;30.09.2021;3:33;ALTERNATIVE;s;Nu
Moon;Kanye West;6961937; 34.809,69  USD ;29.08.2021;30.09.2021;2:36;HIP-HOP/RAP;SUA;Nu
Believer;Imagine Dragons;6916676; 34.583,38  USD ;23.06.2021;30.09.2021;3:50;HIP-HOP/RAP;SUA;Nu
Loco;Justin Quiles;6907180; 34.535,90  USD ;23.04.2021;30.09.2021;4:47;K-POP;SUA;Nu
ArranhÃ£o - Ao Vivo;Henrique & Juliano;6835228; 34.176,14  USD ;17.02.2021;30.09.2021;2:49;LATIN URBAN;Brazilia;Nu
Before You Go;Lewis Capaldi;6811196; 34.055,98  USD ;30.01.2021;30.09.2021;3:15;HIP-HOP/RAP;Scoția;Nu
positions;Ariana Grande;6790804; 33.954,02  USD ;21.04.2021;30.09.2021;3:37;POP;SUA;Nu
RAPSTAR;Polo G;6781446; 33.907,23  USD ;18.02.2021;30.09.2021;2:25;RHYTHM & BLUES;SUA;Nu
Circles;Post Malone;6767623; 33.838,12  USD ;18.02.2021;30.09.2021;3:26;POP;SUA;Nu
love nwantiti (with ElGrande Toto) - North African Remix;CKay;6728495; 33.642,48  USD ;18.02.2021;30.09.2021;4:23;RHYTHM & BLUES;Africa;Da
Smells Like Teen Spirit;Nirvana;6708966; 33.544,83  USD ;13.05.2021;30.09.2021;3:35;RHYTHM & BLUES;SUA;Nu
Dance Monkey;Tones And I;6675021; 33.375,11  USD ;31.07.2021;30.09.2021;3:40;HIP-HOP/RAP;Australia;Nu
A-O-K;Tai Verdes;6646235; 33.231,18  USD ;04.08.2021;30.09.2021;2:25;HIP-HOP/RAP;SUA;Nu
SCOOP (with Doja Cat);Lil Nas X;6612963; 33.064,82  USD ;07.10.2021;30.09.2021;5:23;HIP-HOP/RAP;SUA;Da
double take;dhruv;6593965; 32.969,83  USD ;29.07.2021;30.09.2021;3:31;LATIN;India;Nu
Yellow;Coldplay;6501986; 32.509,93  USD ;29.08.2021;30.09.2021;4:57;RHYTHM & BLUES;Marea Britanie;Nu
Sunflower - Spider-Man: Into the Spider-Verse;Post Malone;6474991; 32.374,96  USD ;25.09.2021;30.09.2021;2:58;LATIN URBAN;SUA;Nu
Shape of You;Ed Sheeran;6452401; 32.262,01  USD ;23.04.2021;30.09.2021;2:35;LATIN URBAN;Marea Britanie;Nu
Heartbreak Anniversary;Giveon;6435773; 32.178,87  USD ;07.09.2021;30.09.2021;2:17;ALTERNATIVE;SUA;Nu
telepatÃ­a;Kali Uchis;6435163; 32.175,82  USD ;31.01.2021;30.09.2021;5:33;HIP-HOP/RAP;SUA;Nu
...And to Those I Love, Thanks for Sticking Around;$uicideboy$;6429703; 32.148,52  USD ;01.09.2021;30.09.2021;3:23;HIP-HOP/RAP;SUA;Nu
Bala Love;Mc Anjim;6392025; 31.960,13  USD ;14.07.2021;30.09.2021;3:23;LATIN;Columbia;Nu
Off The Grid;Kanye West;6389969; 31.949,85  USD ;29.08.2021;30.09.2021;5:39;HIP-HOP/RAP;SUA;Nu
Arcade;Duncan Laurence;6312555; 31.562,78  USD ;17.04.2021;30.09.2021;3:49;HIP-HOP/RAP;Olanda;Nu
Poblado - Remix;J Balvin;6225584; 31.127,92  USD ;30.04.2021;30.09.2021;2:53;ELECTRONIC;Columbia;Nu
Too Easy;Gunna;6182823; 30.914,12  USD ;30.05.2021;30.09.2021;3:00;HIP-HOP/RAP;SUA;Nu
Heather;Conan Gray;6179175; 30.895,88  USD ;05.05.2021;30.09.2021;4:02;HIP-HOP/RAP;SUA;Nu
Levitating;Dua Lipa;6099427; 30.497,14  USD ;29.04.2021;30.09.2021;3:23;LATIN URBAN;Marea Britanie;Nu
Bohemian Rhapsody - Remastered 2011;Queen;6065795; 30.328,98  USD ;15.06.2021;30.09.2021;3:22;HIP-HOP/RAP;Marea Britanie;Nu
A La AntigÃ¼ita;Calibre 50;6040636; 30.203,18  USD ;19.02.2021;30.09.2021;2:22;LATIN;Columbia;Nu
you broke me first;Tate McRae;6034788; 30.173,94  USD ;05.08.2021;30.09.2021;2:53;LATIN;Canada;Nu
Daddy Issues;The Neighbourhood;6022842; 30.114,21  USD ;03.02.2021;30.09.2021;2:54;HIP-HOP/RAP;SUA;Nu
You Right;Doja Cat;5931113; 29.655,57  USD ;07.03.2021;30.09.2021;2:36;LATIN URBAN;SUA;Nu
Jugaste y SufrÃ­;Eslabon Armado;5902957; 29.514,79  USD ;12.04.2021;30.09.2021;1:23;LATIN URBAN;Puerto Rico;Nu
WITHOUT YOU;The Kid LAROI;5879073; 29.395,37  USD ;16.02.2021;30.09.2021;2:44;LATIN URBAN;Australia;Da
SeÃ±orita;Shawn Mendes;5872202; 29.361,01  USD ;09.04.2021;30.09.2021;8:58;K-POP;Canada;Nu
The Real Slim Shady;Eminem;5844486; 29.222,43  USD ;18.03.2000;30.09.2021;4:44;HIP-HOP/RAP;SUA;Nu
Mon Amour - Remix;zzoilo;5818772; 29.093,86  USD ;19.06.2021;30.09.2021;2:50;POP;SUA;Nu
Gangsta's Paradise;Coolio;5814634; 29.073,17  USD ;27.02.2021;30.09.2021;3:40;K-POP;SUA;Nu
"Raataan Lambiyan (From ""Shershaah"")";Tanishk Bagchi;5813591; 29.067,96  USD ;22.04.2021;30.09.2021;3:32;HIP-HOP/RAP;India;Nu
Lemonade (with Gunna, Don Toliver & NAV);Internet Money;5787674; 28.938,37  USD ;23.04.2021;30.09.2021;3:12;LATIN;SUA;Da
Head & Heart (with MNEK);Joel Corry;5781914; 28.909,57  USD ;14.07.2021;30.09.2021;2:27;LATIN URBAN;Marea Britanie;Da
Meu PedaÃ§o de Pecado;JoÃ£o Gomes;5781468; 28.907,34  USD ;13.09.2021;30.09.2021;3:19;HIP-HOP/RAP;Brazilia;Nu
Counting Stars;OneRepublic;5780875; 28.904,38  USD ;17.09.2021;30.09.2021;2:58;ROCK;SUA;Nu
The Nights;Avicii;5764262; 28.821,31  USD ;21.05.2021;30.09.2021;5:21;LATIN URBAN;Suedia;Nu
Ela e Ela;ZÃ© Neto & Cristiano;5759898; 28.799,49  USD ;11.04.2021;30.09.2021;2:32;LATIN URBAN;Panama;Nu
Dandelions;Ruth B.;5734900; 28.674,50  USD ;30.04.2021;30.09.2021;3:26;LATIN;Canada;Nu
ALMAS GEMELAS;Myke Towers;5719256; 28.596,28  USD ;04.05.2021;30.09.2021;4:33;POP;Puerto Rico;Nu
VocÃª Beberia Ou NÃ£o Beberia?;ZÃ© Neto & Cristiano;5719042; 28.595,21  USD ;04.08.2021;30.09.2021;4:01;POP;Puerto Rico;Nu
Quer Voar;MatuÃª;5714332; 28.571,66  USD ;31.03.2021;30.09.2021;2:08;HIP-HOP/RAP;Brazilia;Nu
Talking to the Moon;Bruno Mars;5710496; 28.552,48  USD ;04.06.2021;30.09.2021;3:41;POP;SUA;Nu
Butter (with Megan Thee Stallion);BTS;5703140; 28.515,70  USD ;27.08.2021;30.09.2021;2:44;K-POP;Korea de Sud;Da
Say You Won't Let Go;James Arthur;5699299; 28.496,50  USD ;21.09.2021;30.09.2021;3:46;HIP-HOP/RAP;Marea Britanie;Nu
Shallow;Lady Gaga;5678972; 28.394,86  USD ;29.08.2021;30.09.2021;4:47;LATIN URBAN;SUA;Nu
goosebumps;Travis Scott;5676064; 28.380,32  USD ;20.05.2021;30.09.2021;2:21;DANCE;SUA;Nu
Botella Tras Botella;Gera MX;5673821; 28.369,11  USD ;23.05.2021;30.09.2021;4:02;HIP-HOP/RAP;Mexic;Nu
Memories;Maroon 5;5668382; 28.341,91  USD ;12.07.2021;30.09.2021;3:23;POP;SUA;Nu
Another Love;Tom Odell;5660310; 28.301,55  USD ;30.03.2021;30.09.2021;3:03;HIP-HOP/RAP;Marea Britanie;Nu
brutal;Olivia Rodrigo;5656596; 28.282,98  USD ;31.05.2021;30.09.2021;2:53;HIP-HOP/RAP;SUA;Nu
Mr. Brightside;The Killers;5626831; 28.134,16  USD ;03.02.2021;30.09.2021;2:21;LATIN URBAN;Panama;Nu
Take Me To Church;Hozier;5622520; 28.112,60  USD ;30.07.2021;30.09.2021;4:03;POP;Irlanda;Nu
Every Breath You Take;The Police;5615991; 28.079,96  USD ;30.06.2021;30.09.2021;3:58;HIP-HOP/RAP;Marea Britanie;Nu
No Role Modelz;J. Cole;5613675; 28.068,38  USD ;03.01.2021;30.09.2021;2:23;HIP-HOP/RAP;SUA;Nu
Riptide;Vance Joy;5573296; 27.866,48  USD ;17.02.2021;30.09.2021;2:53;LATIN URBAN;Australia;Nu
No Friends In The Industry;Drake;5565289; 27.826,45  USD ;19.02.2021;30.09.2021;3:12;HIP-HOP/RAP;Canada;Nu
Run;OneRepublic;5562045; 27.810,23  USD ;27.03.2021;30.09.2021;2:21;R&B/SOUL;SUA;Nu
She Knows (with Amber Coffman & Cults);J. Cole;5547220; 27.736,10  USD ;03.01.2021;30.09.2021;2:59;HIP-HOP/RAP;SUA;Da
Heartbreak Anthem (with David Guetta & Little Mix);Galantis;5503955; 27.519,78  USD ;24.05.2021;30.09.2021;5:39;LATIN URBAN;Suedia;Da
Beautiful Mistakes (with Megan Thee Stallion);Maroon 5;5488247; 27.441,24  USD ;25.05.2021;30.09.2021;3:23;HIP-HOP/RAP;SUA;Da
Goosebumps - Remix;Travis Scott;5443480; 27.217,40  USD ;05.08.2021;30.09.2021;2:55;HIP-HOP/RAP;SUA;Nu
7 rings;Ariana Grande;5426741; 27.133,71  USD ;22.05.2021;30.09.2021;2:25;R&B/SOUL;SUA;Nu
2/Catorce;Rauw Alejandro;5404280; 27.021,40  USD ;15.09.2021;30.09.2021;4:12;DANCE;Puerto Rico;Nu
Here's Your Perfect;Jamie Miller;5389083; 26.945,42  USD ;23.05.2021;30.09.2021;5:58;ROCK;Țara Galilor;Nu
Chega E Senta - Ao Vivo;John Amplificado;5388837; 26.944,19  USD ;21.04.2021;30.09.2021;3:30;R&B/SOUL;Brazilia;Nu
bad guy;Billie Eilish;5383428; 26.917,14  USD ;18.02.2021;30.09.2021;2:44;LATIN URBAN;SUA;Nu
Obsessed With You;Central Cee;5381038; 26.905,19  USD ;20.07.2021;30.09.2021;4:56;POP;SUA;Da
Dreams - 2004 Remaster;Fleetwood Mac;5380811; 26.904,06  USD ;04.03.2021;30.09.2021;2:36;HIP-HOP/RAP;Marea Britanie;Nu
Wake Me Up;Avicii;5377017; 26.885,09  USD ;01.03.2021;30.09.2021;3:18;HIP-HOP/RAP;Suedia;Nu
Loverboy;A-Wall;5355014; 26.775,07  USD ;06.08.2021;30.09.2021;2:53;LATIN URBAN;Australia;Nu
All of Me;John Legend;5336586; 26.682,93  USD ;02.02.2019;30.09.2021;3:23;POP;Marea Britanie;Nu
Roses - Imanbek Remix;SAINt JHN;5328742; 26.643,71  USD ;03.06.2021;30.09.2021;3:28;HIP-HOP/RAP;SUA;Nu
Jocelyn Flores;XXXTENTACION;5292411; 26.462,06  USD ;23.04.2021;30.09.2021;4:02;HIP-HOP/RAP;SUA;Nu
"Ranjha (From ""Shershaah"")";Jasleen Royal;5281989; 26.409,95  USD ;13.06.2021;30.09.2021;3:46;POP;India;Nu
Wants and Needs (with Lil Baby);Drake;5263075; 26.315,38  USD ;04.07.2021;30.09.2021;3:28;HIP-HOP/RAP;Canada;Da
Adore You;Harry Styles;5260914; 26.304,57  USD ;04.02.2021;30.09.2021;2:58;POP;Marea Britanie;Nu
Never Going Home;Kungs;5252128; 26.260,64  USD ;13.01.2021;30.09.2021;3:49;LATIN;Franța;Nu
HawÃ¡i;Maluma;5213828; 26.069,14  USD ;21.02.2021;30.09.2021;3:50;HIP-HOP/RAP;Columbia;Nu
Sexo Virtual;Rauw Alejandro;5202781; 26.013,91  USD ;30.09.2021;30.09.2021;2:21;LATIN URBAN;Columbia;Nu
Wow Wow (with Becky G);Maria Becerra;5199617; 25.998,09  USD ;06.07.2021;30.09.2021;3:21;HIP-HOP/RAP;Argentina;Da
Lucid Dreams;Juice WRLD;5197568; 25.987,84  USD ;06.08.2021;30.09.2021;2:33;HIP-HOP/RAP;SUA;Nu
September;Earth, Wind & Fire;5191972; 25.959,86  USD ;09.10.2021;30.09.2021;3:56;POP;SUA;Nu
Blank Space;Taylor Swift;5181671; 25.908,36  USD ;20.04.2021;30.09.2021;2:30;POP;SUA;Nu
Rasputin;Majestic;5178174; 25.890,87  USD ;31.08.2021;30.09.2021;2:18;HIP-HOP/RAP;Marea Britanie;Nu
Nota de RepÃºdio - Ao Vivo;Gusttavo Lima;5170773; 25.853,87  USD ;25.03.2021;30.09.2021;5:59;LATIN URBAN;Argentina;Nu
Wildest Dreams;Taylor Swift;5170252; 25.851,26  USD ;23.07.2021;30.09.2021;3:21;POP;SUA;Nu
Motley Crew;Post Malone;5154356; 25.771,78  USD ;12.01.2021;30.09.2021;3:58;ROCK;SUA;Nu
Without Me;Eminem;5127066; 25.635,33  USD ;31.08.2021;30.09.2021;5:23;HIP-HOP/RAP;SUA;Da
Hold On;Justin Bieber;5123926; 25.619,63  USD ;15.02.2021;30.09.2021;3:31;RHYTHM & BLUES;Canada;Nu
Wonderwall - Remastered;Oasis;5061858; 25.309,29  USD ;31.05.2021;30.09.2021;4:21;RHYTHM & BLUES;SUA;Nu
Your Love (9PM);ATB;5055761; 25.278,81  USD ;18.01.2021;30.09.2021;2:44;HIP-HOP/RAP;Germania;Nu
Miss The Rage (with Playboi Carti);Trippie Redd;5048295; 25.241,48  USD ;24.06.2021;30.09.2021;3:23;HIP-HOP/RAP;SUA;Da
INFERNO;Sub Urban;5024228; 25.121,14  USD ;28.06.2021;30.09.2021;3:21;LATIN URBAN;Puerto Rico;Nu
